id;nome;categoria;ativo;tipo;delivery;site;digital_menu;variacoes;descricao
36864528;Combo Ge Oklahoma;Burger + Fritas + Refri!;Y;other;Y;Y;Y;Único:47;Smash Burger de 130g (duas carnes de 65g) prensado na chapa com cebola branca, creme de cheddar e molho rosé no pão de forma de fermentação natural + Batata Frita P + Refrigerante em lata
36864540;S - Combo Ge Oklahoma;S - Gê Combos!;Y;other;N;N;Y;Único:47;
38585603;Tuchaua Vermelho;Bebidas;Y;other;Y;Y;Y;Único:7;
38585646;Tuchaua Azul;Bebidas;Y;other;Y;Y;N;Único:7;
38690599;S - Tuchaua Azul;S - Bebidas;Y;other;N;N;Y;Único:7;
38690602;S - Tuchaua Vermelho;S - Bebidas;Y;other;N;N;Y;Único:7;
38882133;Coca Zero 1L;Bebidas;Y;other;Y;Y;Y;Único:11;
39067594;Hot Dog na Chapa;Novidades!;N;other;Y;Y;N;Único:26.9;Duas salsichas com molho de tomate, requeijão cremoso e bacon em cubos, servidas no pão com maionese caseira e batata palha. Finalizado na chapa, levemente prensado, com o pão dourado e crocante.
39219145;S - Hot Dog na Chapa;Novidades!;N;other;N;N;N;Único:26.9;Duas salsichas com molho de tomate, requeijão cremoso e bacon em cubos, servidas no pão com maionese caseira e batata palha. Finalizado na chapa, levemente prensado, com o pão dourado e crocante.
39219161;S - Ge Oklahoma;S - Smash;Y;other;N;N;N;Único:35;Smash Burger de 130g (duas carnes de 65g) prensado na chapa com cebola branca, creme de cheddar e molho rosé no pão de forma de fermentação natural.
39728302;Suco de Morango;Bebidas;Y;other;N;N;N;Único:5;
39728314;Suco de Maracujá ;Bebidas;Y;other;N;N;N;Único:5;
39730823;S - Coca Zero 1L;S - Bebidas;Y;other;N;N;Y;Único:11;
39951538;Ge Box Prime;Novidades!;Y;other;Y;Y;Y;Único:96;2 hambúrgueres à sua escolha, acompanhados da nossa famosa Ge Balls (bolinhas de frango com catupiry) e uma Ge Fritas.
39951641;S - Ge Box Prime;S - Mais Pedidos ;Y;other;N;N;Y;Único:96;2 hambúrgueres à sua escolha, acompanhados da nossa famosa Ge Balls (bolinhas de frango com catupiry) e uma Ge Fritas.
